Data Approvazione,Ente,Titolo dell'iniziativa,Descrizione dell'iniziativa,"Destinatari, fruitori dell'iniziativa",Tempistiche dell'iniziativa,Metriche di valutazione dell'impatto,Eventuali partner coinvolti nell'iniziativa,L_Tipologia_Scala,L_Destinatari,L_Proponenti,L_Tipologia_Attivita_1,L_Tipologia_Attivita_2,L_Tipologia_Attivita_3,L_Tipologia_Attivita_4,L_Tipologia_Attivita_5,L_Tipologia_Attivita_6,URL
2019-09-04 19:02:31,Fondazione IBM Italia,P-Tech,"P-Tech è un nuovo modello educativo di formazione al digitale che IBM lancia da quest’anno anche in Italia per rispondere alla esigenza di creare le nuove competenze oggi necessarie in tutti i settori. P-Tech si basa sulla collaborazione tra soggetti pubblici e privati, preparando i giovani a nuove tipologie di lavoro basate sull’uso della tecnologia creando nuove opportunità occupazionali e contribuendo in prospettiva alla crescita del Paese. L'impegno della Fondazione IBM Italia quindi è volto a creare le premesse per una tecnologia inclusiva che non lasci indietro nessuno e che possa favorire l’accesso a un’istruzione di alta qualità. Il P-Tech parte in Italia da Taranto, creando una collaborazione virtuosa tra scuole, Università, aziende e attori chiave del territorio.",Studenti,Il progetto P-Tech parte a settembre da Taranto e durerà 6 anni. E' prevista l'estensione del progetto ad altre realtà interessate.,Numero di studenti formati nelle nuove tecnolgie nel territorio interessato,"Scuole, Università, Istituzioni competenti, altre aziende e partner del territorio interessati",Nazionale,Cittadini,Settore privato,formazione formale,formazione specialistica ICT tecnologie emergenti,,,,,https://www.ibm.com/easytools/runtime/hspx/prod/public/X0027/PortalX/page/pageTemplate?c=95d602dffd404e84b81b42a2c24836b2&s=3ee9674b01694bd4a6650354e3983eff
2019-10-29 19:03:13,Fondazione IBM Italia,progetto “NERD” (Non E' Roba per Donne?),"NERD non è roba per donne

Il progetto N.E.R.D., nato dall'idea di Floriana Filomena Ferrara di IBM Italia, nel 2013 in collaborazione con la professoressa Velardi dell’Università “La Sapienza” di Roma, e ad oggi presente in altre 15 università e politecnici italiani presenti su tutto il territorio. Questo progetto, grazie soprattutto all’energia di 100 delle IBMVolunteers, offre alle studentesse due mesi di tempo per misurarsi con la tecnologia. Le facoltà d'Informatica approno i loro laboratori il venerdi' pomeriggio lasicando entrare centinaia di ragazze delle scuole superiori. Future donne provenienti da diversi percorsi di studi, che assaggiano, spesso per la prima volta il mondo del digitale. Durnate il percorso viene insegnato loro come istruire un’intelligenza artificiale, creando una chatbot. L'importanza di questo progetto è che vengono spiegati l'uso delle metodologie e strumenti, ma viene affidato alle giovani studentesse la creazione di un progetto. Gruppi di studentesse esprimono la loro creatività, energia e passione facendo il loro primi passi nel mondo della tecnologia, scoprendo che possono immaginare, sognare e costruire il loro futuro nel campo del digitale.",Studentesse scuole superiori 16-18 anni,ogni anno da Gennaio a Maggio ,Numero di studentesse che si iscrivono ad informatica che hanno seguito NERD,tutte le università italiane del settore digitale (al momento sono 13) + Elis per Roma,Nazionale,Cittadini,Settore privato,formazione formale,formazione specialistica ICT tecnologie emergenti,,,,,https://www.ibm.com/easytools/runtime/hspx/prod/public/X0027/PortalX/page/pageTemplate?c=a90d226d606a4c1c840fac43c038821e&s=3ee9674b01694bd4a6650354e3983eff
2019-07-19 17:13:52,Fondazione Mondo Digitale,Vagone FMD. Da 01 a 100,"“Vagone FMD. Da 01 a 100 “ è il programma che la Fondazione Mondo Digitale porta avanti da ottobre 2018 all’interno di Binario F, lo spazio di Facebook a Roma dedicato allo sviluppo delle competenze digitali. 
Un programma di inclusione aperto all’intera comunità per sensibilizzare e formare cittadini di tutte le età sul tema delle #digitalskills per crescere a livello personale, integrarsi in una società digitale in continua trasformazione e aumentare le proprie possibilità nel mercato del lavoro. Un vero e proprio “vagone dell’inclusione” dove il digitale e le opportunità da questo offerte diventano accessibili per tutti, nessuno escluso! 
Dai laboratori di alfabetizzazione digitale a percorsi per conoscere le potenzialità dei social network per fa crescere il proprio business, fino a programmi di coding dedicati alle studentesse e a format innovativi e agili per fare cultura digitale sui grandi temi d’attualità, dalle fake news agli hate speech. Il programma, sviluppato secondo il quadro di riferimento per le competenze digitali dei cittadini della Commissione europea, propone una didattica innovativa basata sull’uso delle nuove tecnologie digitali e sullo sviluppo di competenze per la vita e valori civici e sociali per la formazione di una cittadinanza consapevole, resiliente e preparata ad affrontare le sfide del futuro. ","Il programma si configura come un vero e proprio servizio pubblico per la collettività. Corsi di alfabetizzazione digitale coinvolgono i destinatari più “invisibili” e “irraggiungibili”, dalle casalinghe agli anziani e i migranti: in aula, insieme agli studenti delle scuole superiori nel ruolo di ITutor, imparano a navigare in Rete per non sentirsi esclusi e partecipare attivamente alla vita della città. I giovani prendono parte ai laboratori sulle professioni del futuro mentre percorsi di re-skill sono dedicati a docenti, dipendenti del Terzo settore, liberi professionisti e pubblica amministrazione.
Attraverso il programma “Vagone FMD. Da 01 a 100” la Fondazione Mondo Digitale propone anche sessioni brevi e agili per appassionare le persone “comuni” alla cultura digitale e alle sfide della contemporaneità: incontri con esperti sono pensati per far riflettere su tematiche attuali quali sicurezza in rete, privacy, fake news, hate speech, etica e robotica, intelligenza artificiale, cyberbullismo, ecc…",“Vagone FMD. Da 01 a 100” è stato lanciato a ottobre 2018 e sarà attivo per tutto il 2019. La programmazione per il 2020 è in fase di definizione.,"Storie di successo, testimonianze, racconti individuali e corali vengono raccolti settimanalmente nel blog “Vagone FMD” attraverso articoli, video interviste, immagini e animazioni. Un gruppo dedicato sulla pagina Facebook della Fondazione Mondo Digitale riunisce l’intera community che ruota attorno al programma, così come incontri e happy hour diventano il modo per scambiarsi opinioni ed esperienze, presentare storie ispiratrici e condividere best practice. Questionari e sondaggi vengono somministrati periodicamente per la valutazione delle attività e il follow up.",Facebook - Binario F,Nazionale,Cittadini,Associazioni società civile,formazione informale,,,,,,https://www.mondodigitale.org/it/aree-intervento/educazione-per-la-vita-e-cultura-dellinnovazione/vagone-fmd-da-01-a-100
2019-08-01 19:07:14,Fondazione Pico,@,"PICO è il progetto di Alleanza delle Cooperative Italiane per supportare il sistema delle cooperative nella gestione del processo di innovazione e trasformazione digitale. Attraverso la Fondazione PICO, Legacoop, in accordo con AGCI e Confcooperative, intende affiancare: 
- le imprese cooperative, nella costruzione di competenze, strategie, progetti e strumenti utili a cogliere le opportunità della trasformazione digitale e a gestire i suoi impatti sul lavoro, sul mercato, sull’organizzazione, sui processi produttivi; 
- gli organismi di rappresentanza, nella ridefinizione del proprio ruolo di supporto, attraverso l’identificazione dei modelli di servizio e politiche economiche e sociali che tengano conto della specificità cooperativa nei processi di trasformazione ed innovazione digitale. 

La Fondazione PICO, Digital Innovation Hub riconosciuto dal Ministero per lo Sviluppo economico, intende assistere le imprese cooperative, attraverso servizi di comunicazione, divulgazione, formazione, consulenza, analisi, ricerca ed assistenza tecnica specialistica. Tali attività sono svolte con il supporto di una Rete di Nodi distribuiti su tutto territorio nazionale dedicati all’innovazione cooperativa, la Rete PICO, e grazie a partnership nazionali ed internazionali. ",Imprese cooperative,L'azione avrà inizio a Settembre 2019 e si protrarrà per tutto il 2020. ,"Indagine preventiva sulle esigenze (già effettuata), Test di gradimento degli incontri, analisi dei cambiamenti nelle organizzazioni contattate tramite follow-up a 6 e 12 mesi. ",Digital Transformation Institute,Nazionale,Settore Privato,Settore privato,Privati - eleadership,Privati - competenze per il lavoro,,,,,https://pico.coop/content/cosè
2019-09-04 17:43:32,Fuzzy Brains APS,Laboratori di alfabetizzazione digitale,"Fuzzy Brains è un’associazione no-profit fondata ad aprile 2016 a Firenze. Siamo impegnati nella promozione delle tecnologie opensource e contribuiamo alla loro divulgazione con un focus sul linguaggio di programmazione Python e la piattaforma Django. Il nostro scopo è realizzare iniziative di alfabetizzazione digitale su tutto il territorio nazionale e lo facciamo attraverso il supporto di un’ampia rete di volontari e community grandi e piccole. Siamo particolarmente sensibili alla tematica del gender gap e contribuiamo attivamente all’inclusione femminile nel campo della programmazione.

Ci impegniamo particolarmente perché le donne che prendono parte ai nostri eventi diventino esse stesse le attrici del processo di diffusione di conoscenze digitali, e assumano il ruolo di figure guida per tutte le altre donne, ma vogliamo anche rivolgerci progressivamente a un pubblico più ampio e variegato di persone che desiderano crescere in modo inclusivo e partecipativo nella trasformazione digitale.","I nostri laboratori di alfabetizzazione digitale si rivolgono a donne e ragazze di tutte le età, di ogni estrazione sociale e provenienti da qualsiasi background formativo. Partecipare ai nostri laboratori non richiede nessuna conoscenza pregressa. Ci rivolgiamo a donne e ragazze che partecipando ai nostri laboratori possono consolidare le loro conoscenze digitali ma anche orientarsi nel mondo del lavoro, ricostruirsi una professionalità, quanto scoprire un percorso di studi interessante da intraprendere e un settore professionale di cui voler fare parte. 

Non si tratta soltanto di un semplice laboratorio pratico quanto di un percorso alla scoperta di un ambiente professionale da cui spesso le donne sono escluse ma che può offrire moltissimo; per questo, facciamo in modo che i laboratori siano, oltre che sessioni pratiche, anche occasioni di scambio e networking in cui le partecipanti possono entrare in contatto con le esperienze positive di ragazze già attive nel settore, con community locali con cui instaurare un contatto per integrarsi nell’ambiente 
tecnologico, e recruiter di aziende - che selezioniamo accuratamente - che possono offrire loro opportunità lavorative. 

Il nostro bacino di destinatari non si esaurisce qui perché crediamo che la divulgazione debba iniziare già dalla scuola e dalle università e coinvolgere gli studenti, che più di tutti hanno bisogno di essere affiancati ed orientati. Per questo, nel 2017 ci siamo impegnati ad organizzare un corso Python per i ragazzi dell’Istituto Superiore Gobetti Volta di Firenze, i quali hanno poi concretizzato il loro lavoro salendo sul palco di PyCon Italia - la conferenza italiana sul linguaggio di programmazione Python - esponendo un intervento sul tema Python. A questo si aggiunge la collaborazione con le Università italiane (Salerno, Bari, Trieste, Udine) - con cui abbiamo collaborato e continuiamo a collaborare - che hanno messo a nostra disposizione spazi e strumenti per l’organizzazione dei laboratori. 

È in questa ottica che riconosciamo il prezioso valore della collaborazione tra soggetti privati e pubblici nella diffusione e promozione della cultura digitale. 

Il nostro obiettivo primario è l’inclusione femminile, ambito in cui siamo attivi sin dalla nascita della nostra associazione, ma siamo aperti e inclusivi verso tutti e stiamo lavorando per allargare ancora di più il nostro bacino di utenti e creare un ambiente misto ed inclusivo a tutti gli effetti in cui anche le donne possano imparare ad integrarsi. Ci stiamo già muovendo in questo senso, e ogni anno, in occasione di PyCon Italia (la conferenza italiana dedicata al linguaggio di programmazione Python), supportiamo Python Italia nell’organizzazione del Beginner’s Day, un laboratorio di programmazione aperto a tutti (donne e uomini) coloro che vogliono imparare ad utilizzare Python. ","Gestiamo le nostre iniziative secondo una programmazione annuale. Ogni anno ci organizziamo per portare gli eventi di alfabetizzazione digitale per le donne in più città del nostro Paese - sia al nord che al sud - tra cui Firenze, Roma e Milano che sono le nostre tappe fisse, ma per noi è importante raggiungere anche realtà territoriali minori come Trieste, Palermo, Caserta, Bari, Trento o Udine per poter permettere a più persone, provenienti da realtà territoriali diverse, di prendere parte ai nostri eventi di divulgazione. Nei prossimi mesi, ad esempio, saremo a Palermo e Caserta, e in questo ultimo caso ci stiamo organizzando per ricevere il supporto delle Università locali. 

Oltre a questo, ogni anno lavoriamo per supportare gli eventi divulgativi dei linguaggi che ci stanno più a cuore (Python) e per realizzare nuovi eventi divulgativi a sfondo tecnologico. La novità di questo 
autunno 2019, ad esempio sarà un corso di public speaking rivolto a sviluppatori/trici. Il corso è prevalentemente per donne ma aperto anche a uomini. L’obiettivo dell’iniziativa è quello di formare e quindi riuscire a portare più speaker femminili all’interno di conferenze tecnologiche, creando già nell’ambito del corso un ambiente misto di collaborazione tra donne e uomini. In questo modo puntiamo a raggiungere anche un pubblico più ampio e variegato, di persone che desiderano crescere nella trasformazione digitale condividendo conoscenze e strumenti, per diventare essi stessi dei divulgatori e attori di questo processo di diffusione di conoscenze digitali. ","Le metriche che abbiamo individuato sono le seguenti: 

- numero di donne che porteranno un talk al PyCon; 
- numero di donne che parteciperanno ai laboratori;
- numero di donne che dopo il workshop andranno a ricoprire il ruolo di tutor all’interno dei laboratori;
- numero di donne che dopo il laboratorio darà attivamente supporto alla community (eventi, interventi in conferenza, ecc) e si integrerà nell’ambiente tecnologico a tutti gli effetti;
- numero di scuole, istituti e università coinvolti nei nostri eventi di divulgazione tecnologica; 
- numero di tutor volontari - programmatori esperti - che dedicano tempo alla formazione di donne e/o giovani;
- numero di persone che, dopo aver partecipato ai nostri eventi, entreranno a lavorare nel mondo della programmazione.

Abbiamo già risultati positivi relativi a queste metriche ma puntiamo a fare ancora di più e ottimizzare le nostre attività per raggiungere traguardi più alti. ","Solitamente, nell’organizzazione dei nostri eventi, siamo soliti coinvolgere i seguenti partner: 

- Aziende sponsor per supportare economicamente gli eventi;
- Community con cui collaboriamo (tra cui Python Italia e Women Techmakers Italia);

[ Women Techmakers è il programma di Google dedicato alle donne e alla loro crescita nel mondo tecnologico, che conta molte community locali presenti sul territorio italiano, tra cui Women Techmakers Palermo con cui stiamo attivamente collaborando per organizzare un laboratorio. ]

- Scuole, enti e istituti di ricerca;
- Altre associazioni.",Nazionale,Cittadini,Associazioni società civile,formazione informale,formazione specialistica ICT tecnologie classiche,,,,,https://www.fuzzybrains.org/it/
2019-09-03 10:23:50,Harpaceas S.r.l.,Day 2020 - Harpaceas,"Day 2020 - Harpaceas: un evento dove scoprire come la digitalizzazione del progetto porti ad un nuovo risveglio del mercato delle costruzioni, seguendo il racconto di quel percorso che parte dal concept per arrivare alla progettazione e costruzione di un’opera fino a seguire tutto il suo ciclo di vita. Pensiamo, infatti, che la digitalizzazione, per essere la risposta concreta all’evoluzione dell’industria edilizia, abbia bisogno dello sviluppo di una rete di professionisti e imprese che aiuti la reciproca crescita professionale e lavorativa attraverso lo scambio, l’interazione e l’innovazione digitale.","Tutti gli operatori del mercato delle costruzioni: progettisti architettonici, strutturali e impiantisti, società di ingegneria, imprese di costruzione, produttori, general contractor, real estate owner, pubblica amministrazione locale e centrale, nonché i comparti Oil&Gas ed Engineering, Procurement & Construction (EPC).",Primo semestre 2020,Aumento di bandi pubblici BIM oriented. Crescita dell'uso del BIM nelle commesse private. Diffusione delle tecnologie digitali anche per piccoli progetti. ,,Locale,Settore Privato,Settore privato,Privati - competenze per il lavoro,,,,,,https://harpaceas.it/eventi/
2019-12-05 10:09:48,IIS Tecnico economico e professionale Casagrande Cesi - Terni,Cittadinanza digitale,"Il progetto prende spunto dal PNSD d’Istituto che “intende porre in particolare l’attenzione al digitale rivolto anche ai diritti degli studenti, futuri cittadini di domani, affinché il digitale diventi strumento comune nel dialogo tra i cittadini, la pubblica amministrazione e le imprese, mediante un digitale etico, umano, non discriminatorio, atto a diventare spazio di uguaglianza e sviluppo della comunità.”
Pertanto il progetto è volto alla sensibilizzazione degli studenti nei confronti delle tematiche di cittadinanza digitale, con attività finalizzate a far comprendere loro il ruolo dell’informazione nello sviluppo di una società interconnessa, a saper utilizzare con padronanza e spirito critico le tecnologie della società dell’informazione (TSI) e a promuovere abilità di base nelle tecnologie dell’informazione e della comunicazione (TIC)",Classi del primo biennio e classi quinte,intero anno scolastico,"* numero studenti coinvolti
* livello di apprendimento raggiunto sui temi trattati, sulla base della somministrazione di specifici test di valutazione iniziale e finale",,Locale,Cittadini,Pubblica Amministrazione,formazione formale,,,,,,https://www.casagrandecesi.edu.it/pvw/app/TRII0006/pvw_sito.php
2020-01-13 13:09:41,Informatici Senza Frontiere,Coding nelle scuole,"Formazione Insegnanti delle Scuole Primarie e Secondarie 1° grado al Pensiero Computazionale attraverso la programmazione , con l'obiettivo di metterli velocemente nella condizione di trasferire queste competenze ad alunni/studenti - nello stesso anno scolastico - per accelerare il ritardo della scuola pubblica italiana nelle discipline digitali. Metodo usato ""Learning by doing "" e ""Creative Learning"" del MIT di Boston . Supporto agli stessi docenti nella fase di ""restituzione"" agli alunni. Inserimento di attivita' motivazionali per ragazzi, quali ad esempio contest individuali e di gruppo sull'uso della programmazione Scratch nelle varie materie curricolari .",insegnanti delle scuole Primarie e Secondarie di 1° grado - alunni/allievi delle scuole - famiglie ,Novembre 2020 - Novembre 2021,N.Istituti Comprensivi aderenti all'iniziativa ( 14 in questa edizione ) - Numero insegnanti iscritti ai corsi e relativa frequenza - Numero di corsi restituiti ad alunn*/alliev*- Partecipazione al Contest di fine progetto - N.Famiglie coinvolte con partecipazione attiva nelle attivita' di comunicazione / disseminazione,"14  Istituti Comprensivi delle provincie di Vicenza, Padova, Venezia, Treviso ; Ufficio Scolastico Provinciale di VICENZA",Regionale,Cittadini,Associazioni società civile,formazione formale,PA - competenze per il lavoro,,,,,https://www.informaticisenzafrontiere.org/progetti/5615/
2019-09-08 19:28:31,Innova Camera Azienda Speciale della Camera di Commercio di Roma,Maker Faire Rome - The European Edition,"Maker Faire Rome – The European Edition è una manifestazione promossa e organizzata dalla Camera di Commercio di Roma attraverso la sua Azienda Speciale Innova Camera. L’iniziativa è divenuta nel corso del tempo un importante spazio di networking dove l’innovazione dall’alto si incontra con quella dal basso, coinvolgendo il mondo accademico, della scuola, della ricerca, delle imprese, delle startup, dell’industria e delle Istituzioni. Maker Faire Rome facilita e racconta l’innovazione, connettendo persone e idee, attraverso una piattaforma capace di mettere in relazione appassionati di innovazione e di coinvolgerli con percorsi di apprendimento, formazione, co-progettazione e matchmaking. Lo spirito della manifestazione è diffondere la cultura dell’open innovation in modo pratico e coinvolgente. Negli ultimi anni si sta sperimentando una profonda trasformazione grazie all’innovazione aperta, in base alla quale il sistema produttivo e della conoscenza, per creare più valore, sceglie di ricorrere a idee, soluzioni, strumenti e competenze tecnologiche che arrivano dall’esterno e dal basso, in particolare da innovatori creativi startup, università e istituti di ricerca. Il successo dell’iniziativa è testimoniato dalla sua crescita dimensionale e dalla qualità dei contenuti che essa esprime. Dal 2020 il format della manifestazione è cambiato, a seguito delle nuove disposizioni e norme anti Covid, diventando un format ibrido e unico in grado di unire più anime della manifestazione. Maker Faire Rome è un evento interattivo in grado di unire le possibilità del digitale alla tre giorni in presenza, con lo spirito creativo che da sempre la contraddistingue. La piattaforma web ospita le vetrine digitali affiancando alle stesse un palinsesto streaming, direttamente dalla sede dell’evento, dove si alternano speaker di fama internazionale. Si tratta di un vero e proprio canale televisivo in costante diretta live, dal quale vengono raccontate le storie dell’innovazione attraverso uno story telling vivace e dinamico, con una chiara impronta divulgativa. 

","La manifestazione è rivolta al mondo dell’innovazione, alle imprese e alle startup, al mondo della ricerca e dell’accademia, alle università, a studenti, ingegneri, designer, comunicatori, inventori, etc. Grazie al suo format divulgativo e coinvolgente ha riscosso da sempre l’interesse di un pubblico competente ed interessato, formato da giovani (studenti di secondo livello/universitari) e professionisti (imprenditori, liberi professionisti, professori universitari). ","Maker Faire Rome è una manifestazione di tre giorni che si tiene con cadenza annuale. E' accompagnata da una serie di eventi che si svolgono tutto l'anno finalizzati alla diffusione dell'innovazione tecnologica in particolare alle piccole e medie imprese. L'edizione 2022 si svolgerà dal 7 al 9 ottobre, nella sede del Gazometro Ostiense.  ","L’evento viene valutato ogni anno su tre metriche: nr. di visitatori/utenti streaming, nr. di espositori, nr. uscite stampa e analytics.  ",,Locale,Cittadini,Pubblica Amministrazione,comunicazione,formazione specialistica ICT tecnologie emergenti,,,,,https://makerfairerome.eu/it/
2019-12-05 09:23:03,Liber Liber,Manuzio,"Liber Liber promuove vari progetti legati alla cultura digitale, come il Progetto Manuzio, che si propone di valorizzare i libri di pubblico dominio, pubblicando i più grandi classici della letteratura in lingua italiana e distribuendoli gratuitamente via Internet. I libri vengono digitalizzati in formato integrale, con grande cura (sono previste 3 fasi di revisione) e con accorgimenti tecnici che ne consentono la fruizione a tutti, anche non vedenti, ipovedenti e altri utenti con disabilità che non consentono di sfogliare un libro tradizionale. ","Tutti i cittadini italiani e coloro che conoscono o studiano la lingua italiana, con particolari accorgimenti per includere non vedenti e cittadini con bassa scolarità. Al momento raggiungiamo circa 500.000 utenti / mese.","Liber Liber è attiva da 26 anni, ma nei prossimi 12 mesi ci proponiamo di ampliare i nostri progetti e raggiungere più fruitori.","Il sito Liber Liber dispone di tecnologie in grado di misurare l’andamento degli accessi. Inoltre raccogliamo quotidianamente riscontri dai nostri utenti, per conoscerne aspettative ed esigenze.",,Nazionale,Cittadini,Associazioni società civile,piattaforme e-learning,,,,,,https://www.liberliber.it/online/aiuta/progetti/manuzio/
2019-11-27 12:58:45,Maker Camp S.r.l.s.,Olimpiadi della Creatività,"Il progetto delle Olimpiadi della Creatività ( http://www.olimpiadidellacreativita.it )  giunge nel 2020 alla sua III Edizione. L’evento nasce con lo scopo principale di incentivare l’atteggiamento ad esplorare soluzioni differenti, innovative e divergenti in tutti i contesti di insegnamento scolastici: arte, tecnologie, musica, scienze etc, considerando che la creatività, la capacità di risolvere problemi complessi ed il pensiero critico, sono le competenze più rilevanti e richieste per i lavori del futuro. 
La competizione più in particolare si propone di:
• promuovere la diffusione del pensiero creativo sviluppando possibili alternative o trovando idee originali a nuove sfide dando priorità assoluta all’esperienza pratica;
• far produrre ai partecipanti qualcosa di analogico e/o digitale che sia distintivo e speciale per loro e legato alla didattica svolta in classe favorendo la metodologia dell’imparare facendo;
• incoraggiare la capacità di mettere in discussione lo “status quo”rielaborando la tecnologia esistente per costruire nuovi sistemi che funzionano; 
• favorire la capacità di analizzare situazioni problematiche sviluppando, valutando ed individuando la soluzione più idonea da mettere in atto (problem solving);
• stimolare la condivisione di idee tra i partecipanti; 
• valorizzare l’esperienza educativa e culturale invitando i bambini a mettere insieme le competenze acquisite di arte tradizionale, tinkering, coding e making sperimentando sulla scienza, latecnologia, l’ingegneria, l’arte e la matematica",Bambini e ragazzi della scuola primaria e secondaria di I grado ,dal secondo semestre 2021,"La valutazione è effettuata misurando
* il numero di istitui coinvolti (nelle passate edizioni coinvolti oltre 40 istituti della Regione Lazio)
* il numero di studenti coinvolti (nelle precedenti edizioni 800)","Comune di Allumiere, Comune di Tolfa, Comune di Civitavecchia e Fondazione Cariciv",Nazionale,Cittadini,Settore privato,formazione formale,,,,,,http://www.olimpiadidellacreativita.it 
2020-01-15 09:19:49,Microsoft Italia,AI- Accessibilità e Inclusione,"Nel  2019 Microsoft ha lanciato l'agenda digitale sull'accessibilità, che punta ad accrescere la consapevolezza del potenziale dell'IA e delle nuove tecnologie in quattro aree principali: lavoro, educazione, pubblica amministrazione e smart cities. 
Lo scorso dicembre, Microsoft ha lanciato  ""AI- Accessibilità e Inclusione"", in partenariato con aziende private e fondazioni al fine di condividere delle buone pratiche, mettere a fattore comune le esperienze  e avviare delle progettualità comuni con i partner o parte di questi. In particolare, le progettualità vertono su tre aree: 
1) formazione di personale di uffici risorse umane, pubblici e privati, per cambiare la cultura dell'inclusione e dell'accessibilità dai vertici al personale ; 
2) formazione del personale; 
3) sviluppo di progettualità concrete per incentivare l'accessibilità e l'inclusione, ad esempio sviluppo di un kit per conoscere le disabilità cognitive e come la tecnologia può essere da supporto dall'ambito del lavoro a quello della formazione, della pubblica amministrazione, smart cities ecc. 
Maggiori informazioni sul sito: https://www.microsoft.com/it-it/ambizioneitalia/social-ecosystem.aspx ","Uffici risorse umane e gestione del personale di enti pubblici e aziende private, studenti.","Primo semestre 2020: creazione di cluster per i progetti e definizione delle attività
Secondo semestre 2020: kick-off di alcune progettualità emerse e definite nell'ambito della piattaforma di partner AI-Accessibilità e inclusione ","* numero di personale formato.
Per progetti specifici nel mondo del lavoro:
* numero di persone con disabilità che sarà inserito in un contesto lavorativo. ",,Nazionale,Cittadini,Settore privato,formazione specialistica ICT tecnologie emergenti,,,,,,https://www.microsoft.com/it-it/ambizioneitalia/homepage.aspx
2019-09-04 17:37:35,Oilproject S.r.l. - WeSchool,Docenti Digitali,"Docenti Digitali è il corso online gratuito per i Prof della scuola primaria e secondaria creato da WeSchool, l'azienda italiana leader della scuola digitale, usata da 2 milioni di studenti e 79.000 docenti iscritti. L’obiettivo? Aiutare i Prof a capire come trasformare il digitale in un valido alleato nella didattica. Come? I docenti impareranno quali sono le migliori metodologie di didattica digitale e quali sono i tool e le app più utili da utilizzare nelle loro lezioni. Il mantra di WeSchool è che l’innovazione didattica si può fare anche con carta e penna: questo perché le tecnologie sono soltanto uno strumento abilitante e quello che conta davvero è l’attitudine dei Prof a sperimentare nuove metodologie didattiche cooperative ed esperienziali che superino la classica “scuola frontale” in cui il docente parla e i ragazzi ascoltano. Entrando in una vera e propria community, i Prof impareranno quindi direttamente dai propri colleghi, confrontandosi con loro, raccontando le loro esperienze e scambiandosi pareri e consigli utili. L’iniziativa è sviluppata in collaborazione con DeAgostini Scuola.","I destinatari dell’iniziativa sono i docenti della scuola primaria e secondaria, ai quali verranno insegnate cosa sono le metodologie didattiche innovative e come utilizzare il digitale all’interno dei percorsi di apprendimento scolastico. Ma i destinatari dell’iniziativa sono anche le classi di studenti che, di riflesso, conosceranno nuovi strumenti utili che li affiancheranno nel loro percorso di studi.","I corsi Docenti Digitali Primaria e Docenti Digitali Secondaria inizieranno il 30 settembre 2019 e termineranno il 12 novembre 2019. I vari moduli che compongono i due corsi verranno pubblicati con cadenza settimanale in modo da permettere ai docenti di rimanere in pari con l’andamento del corso. Inoltre, tutti i materiali e le lezioni che verranno pubblicati rimarranno disponibili per i docenti iscritti anche dopo il termine del corso, in modo da permettere loro di revisionarli, scaricarli e usarli come guida durante le loro lezioni in aula. Entrambi i corsi sono gratuiti, in modo da permettere a tutti i docenti interessati di iscriversi e seguire le lezioni che vengono caricate sulla piattaforma.","In base al numero di docenti iscritti alle precedenti edizioni dei corsi Docenti Digitali Primaria e Docenti Digitali Secondaria, si stima che gli iscritti ai due corsi saranno circa 20.000 docenti.
I corsi Docenti Digitali Primaria e Docenti Digitali Secondaria termineranno con un test, che i docenti dovranno obbligatoriamente superare per poter ricevere l’attestato riconosciuto ai fini della formazione MIUR. A partire da quest’anno, inoltre, WeSchool è diventato ente certificatore accreditato MIUR (Diretta 170/2016), quindi rilascerà in prima persona gli attestati ai docenti che si dimostrano meritevoli. I docenti avranno anche la possibilità di inviare materiali prodotti da loro, coerentemente a quello che è stato insegnato nel corso e che è stato sperimentato da loro in aula. Questi materiali verranno visionati e valutati dal team didattico di WeSchool. Durante tutta la durata dei corsi verrà portato avanti un monitoraggio del comportamento che i docenti hanno sulla piattaforma. Saranno infatti controllati il numero di materiali visionati dai docenti, la percentuale di completamento di ogni singolo modulo del corso, il numero di commenti lasciati dai docenti per richiedere approfondimenti o chiarimenti, il superamento o meno del test finale.",,Nazionale,Settore Pubblico,Settore privato,piattaforme e-learning,PA - competenze per il lavoro,,,,,https://www.weschool.com/corsi/docenti/
